train episode:52, reward = 0.9800242335493643, state count = 9, state = [6, 25, 54, 57, 73, 75, 79, 158, 182]
train episode:53, reward = 0.9914055808357863, state count = 9, state = [20, 33, 79, 106, 155, 158, 161, 165, 173]
train episode:54, reward = 0.9193868869544017, state count = 9, state = [6, 79, 82, 98, 113, 116, 156, 158, 165]
train episode:55, reward = 0.9612214922930267, state count = 9, state = [6, 56, 79, 107, 112, 139, 155, 158, 165]
train episode:56, reward = 0.9140542021139468, state count = 9, state = [4, 6, 79, 87, 88, 153, 156, 158, 165]
train episode:57, reward = 0.9224079844561552, state count = 9, state = [6, 24, 79, 109, 115, 153, 156, 158, 165]
train episode:58, reward = 0.9224079844561552, state count = 9, state = [6, 79, 109, 115, 153, 156, 158, 165, 179]
evaluate episode:5.9, reward = 0.9224079844561552, state count = 9, state = [6, 79, 109, 115, 153, 156, 158, 165, 174]
train episode:59, reward = 0.9033619109856093, state count = 9, state = [6, 39, 73, 79, 128, 153, 158, 165, 168]
train episode:60, reward = 0.7756014321800352, state count = 9, state = [6, 19, 79, 81, 135, 158, 159, 165, 170]
train episode:61, reward = 0.8980265482392769, state count = 9, state = [6, 34, 79, 115, 153, 156, 158, 160, 165]
train episode:62, reward = 0.9029005617607032, state count = 9, state = [6, 79, 93, 115, 153, 156, 158, 163, 165]
train episode:63, reward = 0.9126529279103741, state count = 9, state = [6, 21, 79, 86, 90, 153, 156, 158, 165]
train episode:64, reward = 0.9163587899262777, state count = 9, state = [6, 79, 106, 133, 136, 154, 156, 158, 165]
train episode:65, reward = 0.9224079844561552, state count = 9, state = [6, 79, 109, 115, 153, 156, 158, 165, 174]
train episode:66, reward = 0.9128919509943225, state count = 9, state = [6, 50, 79, 117, 134, 143, 156, 158, 165]
train episode:67, reward = 0.9012742710200623, state count = 9, state = [6, 24, 79, 95, 156, 157, 158, 165, 180]
train episode:68, reward = 0.9022034269201485, state count = 9, state = [6, 37, 79, 115, 152, 153, 156, 158, 165]
evaluate episode:6.9, reward = 0.9224079844561552, state count = 9, state = [6, 79, 100, 109, 115, 153, 156, 158, 165]
train episode:69, reward = 0.9642302069781431, state count = 9, state = [6, 57, 68, 79, 86, 131, 156, 158, 165]
train episode:70, reward = 0.9714233594329235, state count = 9, state = [6, 25, 72, 79, 153, 156, 158, 163, 165]
train episode:71, reward = 0.9224079844561552, state count = 9, state = [6, 79, 109, 115, 153, 156, 158, 164, 165]
train episode:72, reward = 0.9170682975912836, state count = 9, state = [6, 79, 80, 126, 135, 153, 156, 158, 165]
train episode:73, reward = 0.9600452446187082, state count = 9, state = [6, 9, 23, 55, 79, 121, 156, 158, 165]
