train episode:49, reward = 0.982722320256008, state count = 10, state = [17, 76, 87, 109, 141, 147, 161, 170, 174, 180]
train episode:50, reward = 0.9912576755114044, state count = 10, state = [17, 71, 76, 87, 95, 141, 147, 161, 170, 174]
train episode:51, reward = 0.9912576755114044, state count = 10, state = [1, 17, 76, 87, 98, 141, 147, 161, 170, 174]
train episode:52, reward = 0.992883279495639, state count = 10, state = [17, 33, 76, 128, 141, 151, 161, 164, 170, 174]
train episode:53, reward = 0.9961369644783395, state count = 10, state = [17, 35, 76, 83, 90, 130, 141, 161, 170, 174]
train episode:54, reward = 0.9898349096044304, state count = 10, state = [17, 57, 71, 76, 141, 145, 153, 161, 170, 174]
train episode:55, reward = 0.9894279932634618, state count = 10, state = [17, 54, 76, 87, 89, 141, 161, 166, 170, 174]
train episode:56, reward = 0.9878019736446356, state count = 10, state = [17, 65, 76, 87, 141, 147, 160, 161, 170, 174]
train episode:57, reward = 0.993087357759347, state count = 10, state = [17, 47, 61, 110, 136, 141, 161, 164, 170, 178]
train episode:58, reward = 0.9910535972476963, state count = 10, state = [17, 32, 76, 114, 119, 135, 141, 161, 170, 174]
evaluate episode:5.9, reward = 0.9912576755114044, state count = 10, state = [1, 17, 76, 87, 141, 147, 161, 170, 174, 183]
train episode:59, reward = 0.982722320256008, state count = 10, state = [17, 36, 76, 87, 110, 123, 141, 161, 170, 174]
train episode:60, reward = 0.9912576755114044, state count = 10, state = [1, 17, 69, 76, 87, 141, 147, 161, 170, 174]
train episode:61, reward = 0.9939032602175828, state count = 10, state = [17, 23, 76, 83, 111, 126, 141, 161, 170, 174]
train episode:62, reward = 0.9910544234788841, state count = 10, state = [17, 42, 76, 87, 124, 141, 161, 170, 174, 183]
train episode:63, reward = 0.9912576755114044, state count = 10, state = [16, 17, 76, 87, 132, 141, 161, 166, 170, 174]
train episode:64, reward = 0.9878019736446356, state count = 10, state = [17, 44, 65, 76, 87, 141, 147, 161, 170, 174]
train episode:65, reward = 0.9894300613604287, state count = 10, state = [17, 55, 67, 76, 87, 105, 141, 161, 170, 174]
train episode:66, reward = 0.9918674316089653, state count = 10, state = [17, 76, 87, 97, 141, 143, 147, 161, 170, 174]
train episode:67, reward = 0.9967475501657518, state count = 10, state = [17, 23, 33, 37, 68, 76, 141, 161, 170, 175]
train episode:68, reward = 0.9912576755114044, state count = 10, state = [1, 17, 76, 87, 133, 141, 147, 161, 170, 174]
evaluate episode:6.9, reward = 0.9912576755114044, state count = 10, state = [1, 17, 76, 87, 141, 147, 161, 170, 174, 183]
train episode:69, reward = 0.9912576755114044, state count = 10, state = [3, 13, 17, 76, 87, 141, 147, 161, 170, 174]
train episode:70, reward = 0.9908511714463637, state count = 10, state = [3, 17, 76, 87, 141, 147, 161, 170, 174, 183]
train episode:71, reward = 0.9892251518275377, state count = 10, state = [17, 48, 76, 87, 141, 161, 162, 170, 172, 174]
train episode:72, reward = 0.9912580894666639, state count = 10, state = [17, 25, 50, 72, 76, 91, 141, 161, 170, 178]
train episode:73, reward = 0.9906475071379154, state count = 10, state = [17, 28, 76, 87, 141, 145, 147, 161, 170, 174]
train episode:74, reward = 0.9912576755114044, state count = 10, state = [17, 38, 76, 87, 106, 141, 161, 167, 170, 174]
train episode:75, reward = 0.9839385292057106, state count = 10, state = [17, 59, 76, 87, 89, 141, 147, 161, 170, 174]
train episode:76, reward = 0.9953227195204741, state count = 10, state = [17, 42, 76, 106, 141, 161, 168, 170, 173, 174]
train episode:77, reward = 0.9912576755114044, state count = 10, state = [1, 17, 76, 87, 141, 147, 161, 170, 174, 183]
train episode:78, reward = 0.9912576755114044, state count = 10, state = [17, 27, 76, 87, 141, 155, 161, 170, 174, 183]
evaluate episode:7.9, reward = 0.9912576755114044, state count = 10, state = [1, 17, 76, 87, 141, 147, 161, 170, 174, 183]
train episode:79, reward = 0.991664179576445, state count = 10, state = [17, 40, 76, 87, 141, 147, 161, 170, 174, 183]
train episode:80, reward = 0.9912576755114044, state count = 10, state = [17, 76, 87, 127, 141, 147, 161, 170, 174, 183]
train episode:81, reward = 0.9906483316897715, state count = 10, state = [17, 76, 87, 92, 141, 147, 161, 170, 174, 183]
train episode:82, reward = 0.9825190682234878, state count = 10, state = [17, 64, 76, 87, 111, 141, 161, 170, 174, 177]
train episode:83, reward = 0.9912576755114044, state count = 10, state = [17, 76, 87, 141, 147, 156, 161, 170, 174, 183]
train episode:84, reward = 0.9906475071379154, state count = 10, state = [17, 28, 76, 87, 141, 147, 161, 170, 174, 183]
train episode:85, reward = 0.9849552033235721, state count = 10, state = [17, 42, 62, 76, 88, 112, 132, 141, 161, 170]
train episode:86, reward = 0.9912576755114044, state count = 10, state = [17, 76, 87, 141, 146, 147, 161, 170, 174, 183]
train episode:87, reward = 0.9908511714463637, state count = 10, state = [17, 42, 45, 76, 101, 138, 141, 161, 170, 174]
train episode:88, reward = 0.9912576755114044, state count = 10, state = [16, 17, 76, 89, 103, 141, 161, 170, 173, 174]
evaluate episode:8.9, reward = 0.9922739373533377, state count = 10, state = [1, 17, 76, 87, 91, 141, 161, 170, 174, 183]
train episode:89, reward = 0.9955272083807785, state count = 10, state = [17, 32, 76, 141, 144, 151, 161, 170, 174, 177]
train episode:90, reward = 0.9957325285102658, state count = 10, state = [17, 36, 69, 76, 90, 98, 141, 161, 170, 174]
train episode:91, reward = 0.9910556636653315, state count = 10, state = [9, 17, 60, 76, 141, 150, 155, 161, 170, 174]
train episode:92, reward = 0.9912576755114044, state count = 10, state = [4, 8, 17, 76, 87, 95, 141, 161, 170, 174]
train episode:93, reward = 0.9912576755114044, state count = 10, state = [9, 17, 76, 87, 128, 141, 161, 170, 174, 183]
train episode:94, reward = 0.9884121453767882, state count = 10, state = [17, 31, 76, 87, 137, 141, 155, 161, 170, 174]
train episode:95, reward = 0.9837394083291292, state count = 10, state = [17, 60, 68, 71, 76, 89, 90, 141, 161, 170]
train episode:96, reward = 0.9839418358097933, state count = 10, state = [17, 29, 76, 87, 141, 152, 161, 164, 170, 174]
train episode:97, reward = 0.9861759573844731, state count = 10, state = [17, 31, 32, 44, 57, 100, 141, 161, 170, 173]
train episode:98, reward = 0.9922739373533377, state count = 10, state = [15, 17, 76, 87, 91, 141, 161, 170, 174, 183]
evaluate episode:9.9, reward = 0.9922739373533377, state count = 10, state = [1, 17, 76, 87, 91, 141, 161, 170, 174, 183]
train episode:99, reward = 0.989427579308202, state count = 10, state = [17, 43, 66, 76, 107, 119, 141, 161, 170, 174]
train episode:100, reward = 0.9987796598943586, state count = 10, state = [10, 17, 52, 54, 76, 121, 139, 141, 161, 170]
train episode:101, reward = 0.9943081134995799, state count = 10, state = [17, 58, 73, 74, 76, 120, 141, 161, 170, 174]
train episode:102, reward = 0.988412974966639, state count = 10, state = [17, 21, 67, 76, 99, 112, 141, 161, 170, 175]
train episode:103, reward = 0.9890231433401281, state count = 10, state = [17, 31, 32, 39, 65, 76, 141, 148, 161, 170]
train episode:104, reward = 0.9839418358097933, state count = 10, state = [17, 29, 76, 85, 87, 141, 148, 161, 170, 174]
train episode:105, reward = 0.9906475071379154, state count = 10, state = [17, 28, 76, 87, 103, 141, 151, 161, 170, 174]
train episode:106, reward = 0.9912576755114044, state count = 10, state = [6, 17, 76, 87, 115, 141, 161, 165, 170, 174]
train episode:107, reward = 0.9810950638093981, state count = 10, state = [17, 37, 43, 76, 87, 141, 159, 161, 170, 174]
train episode:108, reward = 0.9912576755114044, state count = 10, state = [1, 17, 76, 87, 141, 150, 161, 170, 174, 183]
evaluate episode:10.9, reward = 0.9912576755114044, state count = 10, state = [1, 17, 76, 85, 87, 141, 161, 170, 174, 183]
train episode:109, reward = 0.9912576755114044, state count = 10, state = [1, 17, 38, 76, 87, 141, 161, 170, 174, 183]
train episode:110, reward = 0.9914609275439247, state count = 10, state = [17, 20, 76, 87, 102, 141, 161, 170, 174, 183]
train episode:111, reward = 0.9912576755114044, state count = 10, state = [1, 17, 35, 76, 87, 141, 161, 170, 174, 183]
train episode:112, reward = 0.9898349112837621, state count = 10, state = [17, 54, 76, 87, 101, 132, 141, 161, 170, 174]
