train episode:60, reward = 75.85365853658537, state count = 7, state = [19, 51, 56, 57, 83, 95, 115]
train episode:61, reward = 94.6341463414634, state count = 7, state = [4, 24, 56, 83, 95, 115, 174]
train episode:62, reward = 91.6260162601626, state count = 7, state = [4, 56, 83, 95, 115, 117, 149]
train episode:63, reward = 92.84552845528455, state count = 7, state = [7, 56, 83, 92, 95, 115, 154]
train episode:64, reward = 90.5691056910569, state count = 7, state = [23, 43, 56, 59, 83, 95, 115]
train episode:65, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:66, reward = 90.2439024390244, state count = 7, state = [10, 41, 56, 83, 95, 115, 127]
train episode:67, reward = 93.65853658536587, state count = 7, state = [10, 40, 56, 59, 83, 95, 98]
train episode:68, reward = 82.84552845528455, state count = 7, state = [4, 83, 95, 103, 111, 115, 143]
evaluate episode:6.9, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:69, reward = 93.65853658536587, state count = 7, state = [16, 56, 74, 83, 95, 115, 137]
train episode:70, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 138]
train episode:71, reward = 91.21951219512195, state count = 7, state = [8, 56, 83, 95, 98, 115, 151]
train episode:72, reward = 93.98373983739837, state count = 7, state = [4, 56, 72, 79, 83, 95, 115]
train episode:73, reward = 98.69918699186991, state count = 7, state = [56, 68, 83, 95, 99, 122, 154]
train episode:74, reward = 87.23577235772358, state count = 7, state = [10, 56, 83, 95, 109, 128, 163]
train episode:75, reward = 89.59349593495935, state count = 7, state = [4, 56, 83, 95, 102, 115, 133]
train episode:76, reward = 90.73170731707317, state count = 7, state = [4, 6, 12, 56, 83, 95, 115]
train episode:77, reward = 90.89430894308943, state count = 7, state = [4, 6, 56, 83, 95, 115, 178]
train episode:78, reward = 96.91056910569105, state count = 7, state = [4, 6, 56, 83, 95, 115, 163]
evaluate episode:7.9, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:79, reward = 96.58536585365853, state count = 7, state = [46, 56, 75, 83, 95, 115, 137]
train episode:80, reward = 94.0650406504065, state count = 7, state = [41, 56, 82, 83, 95, 115, 150]
train episode:81, reward = 91.6260162601626, state count = 7, state = [4, 7, 56, 83, 95, 115, 181]
train episode:82, reward = 90.97560975609757, state count = 7, state = [6, 56, 60, 65, 83, 90, 95]
train episode:83, reward = 89.26829268292683, state count = 7, state = [4, 6, 56, 59, 83, 95, 115]
train episode:84, reward = 90.16260162601625, state count = 7, state = [4, 13, 56, 83, 95, 115, 172]
train episode:85, reward = 90.2439024390244, state count = 7, state = [41, 42, 52, 56, 83, 95, 115]
train episode:86, reward = 91.21951219512195, state count = 7, state = [4, 56, 71, 83, 95, 115, 160]
train episode:87, reward = 97.72357723577237, state count = 7, state = [4, 6, 56, 61, 83, 95, 115]
train episode:88, reward = 97.39837398373984, state count = 6, state = [56, 83, 92, 95, 163, 166]
evaluate episode:8.9, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:89, reward = 91.05691056910568, state count = 7, state = [4, 56, 59, 83, 95, 108, 147]
train episode:90, reward = 54.796747967479675, state count = 7, state = [4, 9, 50, 56, 83, 95, 115]
train episode:91, reward = 93.98373983739837, state count = 7, state = [56, 83, 95, 115, 129, 147, 152]
train episode:92, reward = 92.84552845528455, state count = 7, state = [4, 56, 83, 95, 97, 115, 158]
train episode:93, reward = 93.2520325203252, state count = 7, state = [3, 10, 51, 95, 151, 167, 175]
train episode:94, reward = 93.33333333333333, state count = 7, state = [4, 6, 56, 83, 95, 115, 181]
train episode:95, reward = 93.65853658536587, state count = 7, state = [56, 65, 83, 88, 95, 174, 181]
train episode:96, reward = 99.7560975609756, state count = 7, state = [2, 17, 35, 40, 56, 83, 95]
train episode:97, reward = 82.11382113821138, state count = 7, state = [9, 16, 31, 68, 83, 95, 151]
train episode:98, reward = 89.83739837398373, state count = 7, state = [4, 56, 71, 83, 95, 105, 115]
evaluate episode:9.9, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:99, reward = 96.42276422764228, state count = 7, state = [56, 83, 84, 95, 136, 152, 164]
train episode:100, reward = 90.89430894308943, state count = 7, state = [4, 6, 21, 56, 83, 95, 115]
train episode:101, reward = 90.89430894308943, state count = 7, state = [4, 6, 56, 83, 95, 115, 152]
train episode:102, reward = 89.59349593495935, state count = 7, state = [4, 10, 56, 83, 95, 115, 122]
train episode:103, reward = 99.02439024390245, state count = 7, state = [33, 71, 83, 93, 95, 166, 172]
train episode:104, reward = 97.96747967479675, state count = 7, state = [4, 51, 56, 67, 83, 95, 115]
train episode:105, reward = 89.51219512195122, state count = 7, state = [4, 56, 81, 83, 95, 109, 136]
train episode:106, reward = 86.5040650406504, state count = 7, state = [4, 29, 56, 83, 95, 102, 118]
train episode:107, reward = 94.3089430894309, state count = 7, state = [4, 6, 56, 83, 95, 115, 144]
train episode:108, reward = 95.6910569105691, state count = 7, state = [4, 56, 83, 95, 115, 167, 168]
evaluate episode:10.9, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:109, reward = 95.9349593495935, state count = 7, state = [4, 27, 56, 83, 95, 100, 115]
train episode:110, reward = 93.90243902439023, state count = 7, state = [4, 15, 56, 79, 83, 95, 115]
train episode:111, reward = 89.91869918699187, state count = 7, state = [4, 34, 56, 83, 95, 115, 138]
train episode:112, reward = 94.39024390243902, state count = 7, state = [4, 6, 56, 83, 95, 115, 142]
train episode:113, reward = 95.20325203252033, state count = 7, state = [7, 30, 55, 56, 83, 95, 166]
train episode:114, reward = 86.7479674796748, state count = 7, state = [45, 56, 83, 95, 131, 153, 175]
train episode:115, reward = 94.39024390243902, state count = 7, state = [4, 6, 56, 83, 95, 115, 142]
train episode:116, reward = 99.26829268292683, state count = 7, state = [4, 33, 56, 83, 95, 118, 121]
train episode:117, reward = 90.73170731707317, state count = 7, state = [4, 6, 7, 56, 83, 95, 115]
train episode:118, reward = 93.33333333333333, state count = 7, state = [4, 56, 83, 95, 105, 164, 183]
evaluate episode:11.9, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:119, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:120, reward = 93.57723577235772, state count = 7, state = [4, 6, 56, 83, 95, 115, 153]
train episode:121, reward = 88.69918699186992, state count = 7, state = [4, 13, 56, 83, 95, 112, 155]
train episode:122, reward = 93.0081300813008, state count = 7, state = [32, 56, 83, 95, 98, 119, 158]
train episode:123, reward = 87.07317073170732, state count = 7, state = [4, 29, 56, 83, 95, 115, 118]
train episode:124, reward = 92.11382113821138, state count = 7, state = [4, 56, 83, 95, 115, 148, 149]
train episode:125, reward = 94.39024390243902, state count = 7, state = [1, 4, 56, 83, 95, 116, 168]
train episode:126, reward = 92.92682926829269, state count = 7, state = [4, 6, 56, 83, 95, 115, 158]
train episode:127, reward = 86.260162601626, state count = 7, state = [3, 4, 56, 83, 95, 106, 114]
train episode:128, reward = 92.6829268292683, state count = 7, state = [4, 56, 83, 95, 115, 139, 147]
evaluate episode:12.9, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:129, reward = 89.83739837398373, state count = 7, state = [4, 13, 56, 71, 83, 95, 115]
train episode:130, reward = 99.02439024390245, state count = 7, state = [4, 25, 56, 83, 95, 115, 175]
train episode:131, reward = 86.7479674796748, state count = 7, state = [4, 29, 52, 56, 63, 83, 95]
train episode:132, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 137]
train episode:133, reward = 93.2520325203252, state count = 7, state = [4, 6, 56, 83, 95, 115, 180]
train episode:134, reward = 90.8130081300813, state count = 7, state = [1, 4, 6, 56, 83, 95, 115]
train episode:135, reward = 88.78048780487805, state count = 7, state = [4, 37, 56, 60, 83, 95, 103]
train episode:136, reward = 96.91056910569105, state count = 7, state = [4, 6, 56, 83, 95, 115, 164]
train episode:137, reward = 86.260162601626, state count = 7, state = [4, 6, 43, 56, 83, 95, 115]
train episode:138, reward = 95.44715447154472, state count = 7, state = [56, 59, 83, 89, 95, 97, 159]
evaluate episode:13.9, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:139, reward = 92.76422764227642, state count = 7, state = [4, 56, 83, 92, 95, 121, 140]
train episode:140, reward = 95.9349593495935, state count = 7, state = [4, 27, 56, 83, 95, 140, 147]
train episode:141, reward = 94.39024390243902, state count = 7, state = [4, 6, 56, 83, 95, 115, 142]
train episode:142, reward = 93.17073170731707, state count = 7, state = [4, 56, 83, 95, 106, 115, 145]
train episode:143, reward = 96.09756097560975, state count = 7, state = [4, 56, 75, 83, 95, 120, 124]
train episode:144, reward = 95.85365853658536, state count = 7, state = [4, 6, 56, 83, 95, 115, 174]
train episode:145, reward = 89.75609756097562, state count = 6, state = [4, 51, 56, 83, 95, 115]
train episode:146, reward = 80.000, state count = 7, state = [4, 10, 31, 56, 83, 95, 181]
train episode:147, reward = 97.3170731707317, state count = 7, state = [4, 56, 76, 83, 95, 115, 119]
train episode:148, reward = 98.6178861788618, state count = 7, state = [4, 54, 55, 56, 83, 95, 103]
evaluate episode:14.9, reward = 90.8130081300813, state count = 7, state = [4, 6, 56, 83, 95, 115, 124]
train episode:149, reward = 90.48780487804878, state count = 7, state = [4, 56, 63, 71, 83, 95, 115]
train episode:150, reward = 93.57723577235772, state count = 7, state = [4, 6, 56, 83, 95, 115, 153]
