train episode:68, reward = 0.9203252032520325, state count = 5, state = [15, 35, 43, 90, 122]
evaluate episode:6.9, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:69, reward = 0.9796747967479674, state count = 5, state = [15, 43, 68, 108, 126]
train episode:70, reward = 0.8845528455284553, state count = 5, state = [15, 18, 43, 115, 122]
train episode:71, reward = 0.9536585365853658, state count = 5, state = [27, 39, 43, 90, 122]
train episode:72, reward = 0.948780487804878, state count = 5, state = [15, 43, 76, 90, 122]
train episode:73, reward = 0.7886178861788617, state count = 5, state = [15, 43, 69, 90, 151]
train episode:74, reward = 0.7886178861788617, state count = 5, state = [15, 24, 43, 90, 151]
train episode:75, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:76, reward = 0.8040650406504065, state count = 5, state = [9, 15, 43, 90, 122]
train episode:77, reward = 0.9073170731707317, state count = 5, state = [15, 19, 43, 90, 122]
train episode:78, reward = 0.8032520325203252, state count = 5, state = [15, 43, 90, 122, 142]
evaluate episode:7.9, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:79, reward = 0.9739837398373984, state count = 5, state = [15, 43, 68, 90, 122]
train episode:80, reward = 0.802439024390244, state count = 5, state = [15, 43, 90, 122, 158]
train episode:81, reward = 0, state count = 0, state = []
train episode:82, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:83, reward = 0.8073170731707318, state count = 5, state = [1, 15, 28, 43, 122]
train episode:84, reward = 0.8959349593495934, state count = 5, state = [15, 43, 90, 123, 159]
train episode:85, reward = 0.9967479674796748, state count = 5, state = [15, 23, 43, 90, 148]
train episode:86, reward = 0.9959349593495935, state count = 5, state = [7, 15, 17, 43, 126]
train episode:87, reward = 0.9536585365853658, state count = 5, state = [15, 43, 48, 103, 118]
train episode:88, reward = 0.8032520325203252, state count = 5, state = [15, 24, 43, 90, 122]
evaluate episode:8.9, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:89, reward = 0.8804878048780488, state count = 5, state = [15, 43, 90, 111, 122]
train episode:90, reward = 0.8178861788617886, state count = 5, state = [15, 43, 90, 122, 150]
train episode:91, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:92, reward = 0.9121951219512195, state count = 5, state = [15, 43, 90, 125, 162]
train episode:93, reward = 0.865040650406504, state count = 5, state = [15, 41, 43, 90, 119]
train episode:94, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:95, reward = 0.9878048780487805, state count = 5, state = [15, 20, 33, 43, 133]
train episode:96, reward = 0.9886178861788618, state count = 5, state = [15, 33, 43, 90, 122]
train episode:97, reward = 0.9040650406504065, state count = 5, state = [15, 43, 56, 90, 158]
train episode:98, reward = 0.8048780487804879, state count = 5, state = [15, 43, 90, 122, 153]
evaluate episode:9.9, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:99, reward = 0.6894308943089431, state count = 5, state = [15, 43, 99, 122, 136]
train episode:100, reward = 0.9715447154471545, state count = 5, state = [15, 43, 67, 90, 151]
train episode:101, reward = 0.943089430894309, state count = 5, state = [15, 43, 66, 90, 138]
train episode:102, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:103, reward = 0.8016260162601626, state count = 5, state = [15, 43, 90, 107, 122]
train episode:104, reward = 0.7894308943089431, state count = 5, state = [12, 15, 43, 90, 158]
train episode:105, reward = 0.8894308943089431, state count = 5, state = [15, 43, 90, 103, 112]
train episode:106, reward = 0.9959349593495935, state count = 5, state = [15, 25, 43, 90, 122]
train episode:107, reward = 0.9739837398373984, state count = 5, state = [15, 43, 68, 90, 122]
train episode:108, reward = 0.8056910569105691, state count = 5, state = [15, 43, 90, 121, 122]
evaluate episode:10.9, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:109, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:110, reward = 0.9959349593495935, state count = 5, state = [15, 22, 43, 90, 122]
train episode:111, reward = 0.8195121951219512, state count = 5, state = [3, 15, 43, 90, 107]
train episode:112, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:113, reward = 0.7878048780487805, state count = 5, state = [15, 43, 84, 90, 127]
train episode:114, reward = 0.7878048780487805, state count = 5, state = [15, 43, 63, 90, 103]
train episode:115, reward = 0.8829268292682927, state count = 5, state = [15, 43, 90, 110, 122]
train episode:116, reward = 0.865040650406504, state count = 5, state = [15, 32, 43, 90, 119]
train episode:117, reward = 0.8902439024390244, state count = 5, state = [15, 43, 59, 90, 159]
train episode:118, reward = 0.8008130081300813, state count = 5, state = [15, 32, 43, 90, 122]
evaluate episode:11.9, reward = 0.859349593495935, state count = 5, state = [15, 43, 88, 90, 122]
train episode:119, reward = 0.8032520325203252, state count = 5, state = [15, 43, 90, 122, 139]
train episode:120, reward = 0.7252032520325203, state count = 5, state = [4, 13, 15, 43, 77]
