train episode:59, reward = 0.8373983739837398, state count = 7, state = [18, 89, 109, 123, 133, 153, 163]
train episode:60, reward = 0.8967479674796748, state count = 7, state = [18, 35, 82, 94, 109, 133, 151]
train episode:61, reward = 0.8357723577235773, state count = 7, state = [18, 69, 89, 109, 123, 133, 153]
train episode:62, reward = 0.8341463414634146, state count = 7, state = [3, 18, 109, 123, 133, 138, 141]
train episode:63, reward = 0.9317073170731708, state count = 7, state = [23, 42, 45, 93, 109, 123, 133]
train episode:64, reward = 0.8040650406504065, state count = 7, state = [18, 57, 70, 82, 109, 123, 153]
train episode:65, reward = 0.8739837398373984, state count = 7, state = [18, 28, 89, 109, 123, 133, 153]
train episode:66, reward = 0.8382113821138212, state count = 7, state = [1, 18, 109, 114, 123, 133, 153]
train episode:67, reward = 0.8333333333333334, state count = 7, state = [18, 24, 109, 110, 123, 133, 153]
train episode:68, reward = 0.8365853658536585, state count = 7, state = [18, 89, 109, 123, 133, 153, 161]
evaluate episode:6.9, reward = 0.8373983739837398, state count = 7, state = [18, 89, 109, 123, 133, 153, 163]
train episode:69, reward = 0.8365853658536585, state count = 7, state = [18, 89, 109, 123, 132, 133, 153]
train episode:70, reward = 0.8333333333333334, state count = 7, state = [18, 34, 109, 123, 133, 138, 153]
train episode:71, reward = 0.8365853658536585, state count = 7, state = [18, 38, 89, 109, 123, 133, 153]
train episode:72, reward = 0.9780487804878049, state count = 7, state = [7, 18, 61, 109, 123, 133, 153]
train episode:73, reward = 0.8349593495934959, state count = 7, state = [18, 93, 101, 109, 123, 137, 150]
train episode:74, reward = 0.9373983739837398, state count = 7, state = [18, 25, 76, 109, 121, 123, 133]
train episode:75, reward = 0.8764227642276423, state count = 7, state = [18, 44, 89, 109, 123, 133, 153]
train episode:76, reward = 0.883739837398374, state count = 7, state = [18, 58, 109, 123, 133, 149, 153]
train episode:77, reward = 0.8341463414634146, state count = 7, state = [8, 18, 109, 123, 127, 133, 153]
train episode:78, reward = 0.8341463414634146, state count = 7, state = [18, 24, 102, 109, 123, 133, 153]
evaluate episode:7.9, reward = 0.8373983739837398, state count = 7, state = [18, 89, 109, 123, 133, 153, 163]
train episode:79, reward = 0.9016260162601626, state count = 7, state = [18, 55, 109, 133, 135, 153, 155]
train episode:80, reward = 0.8723577235772357, state count = 7, state = [18, 56, 70, 109, 123, 133, 153]
train episode:81, reward = 0.8373983739837398, state count = 7, state = [18, 89, 109, 123, 133, 153, 163]
train episode:82, reward = 0.8349593495934959, state count = 7, state = [18, 37, 98, 109, 123, 133, 153]
train episode:83, reward = 0.8691056910569106, state count = 7, state = [18, 97, 99, 109, 115, 123, 133]
train episode:84, reward = 0.8495934959349594, state count = 7, state = [18, 40, 60, 70, 72, 123, 133]
train episode:85, reward = 0.8341463414634146, state count = 7, state = [18, 72, 109, 123, 133, 139, 146]
train episode:86, reward = 0.8373983739837398, state count = 7, state = [18, 89, 109, 123, 133, 153, 163]
train episode:87, reward = 0.8357723577235773, state count = 7, state = [12, 18, 89, 109, 123, 133, 153]
train episode:88, reward = 0.975609756097561, state count = 7, state = [18, 30, 54, 97, 109, 134, 153]
evaluate episode:8.9, reward = 0.8373983739837398, state count = 7, state = [18, 89, 109, 123, 133, 153, 163]
train episode:89, reward = 0.8365853658536585, state count = 7, state = [18, 89, 104, 109, 123, 133, 153]
train episode:90, reward = 0.8373983739837398, state count = 7, state = [18, 89, 109, 123, 133, 153, 163]
train episode:91, reward = 0.8560975609756097, state count = 7, state = [18, 73, 89, 109, 123, 133, 153]
train episode:92, reward = 0.9048780487804878, state count = 7, state = [6, 18, 109, 113, 123, 133, 153]
train episode:93, reward = 0.9048780487804878, state count = 7, state = [18, 60, 77, 109, 123, 133, 153]
train episode:94, reward = 0.8357723577235773, state count = 7, state = [18, 89, 94, 109, 123, 133, 153]
train episode:95, reward = 0.8365853658536585, state count = 7, state = [1, 18, 89, 109, 123, 133, 153]
train episode:96, reward = 0.8357723577235773, state count = 7, state = [6, 18, 89, 109, 123, 133, 153]
train episode:97, reward = 0.9365853658536586, state count = 7, state = [11, 52, 65, 87, 122, 123, 133]
train episode:98, reward = 0.759349593495935, state count = 7, state = [18, 19, 85, 109, 123, 133, 153]
evaluate episode:9.9, reward = 0.8373983739837398, state count = 7, state = [18, 89, 109, 123, 133, 153, 163]
train episode:99, reward = 0.8365853658536585, state count = 7, state = [18, 89, 99, 109, 123, 133, 153]
train episode:100, reward = 0.9113821138211382, state count = 7, state = [92, 109, 122, 123, 125, 133, 150]
train episode:101, reward = 0.8373983739837398, state count = 7, state = [18, 66, 89, 109, 123, 133, 153]
train episode:102, reward = 0.8365853658536585, state count = 7, state = [18, 22, 89, 109, 123, 133, 153]
train episode:103, reward = 0.7609756097560976, state count = 7, state = [18, 19, 55, 109, 113, 133, 153]
train episode:104, reward = 0.8390243902439024, state count = 7, state = [18, 32, 109, 114, 123, 133, 153]
train episode:105, reward = 0.8341463414634146, state count = 7, state = [18, 109, 123, 133, 147, 153, 157]
