train episode:52, reward = 0.9560975609756097, state count = 9, state = [15, 58, 85, 88, 102, 119, 155, 160, 177]
train episode:53, reward = 0.9544715447154472, state count = 9, state = [15, 28, 31, 85, 90, 102, 119, 129, 177]
train episode:54, reward = 0.9715447154471545, state count = 9, state = [15, 37, 65, 96, 102, 119, 160, 177, 182]
train episode:55, reward = 0.959349593495935, state count = 9, state = [15, 58, 85, 88, 102, 119, 143, 160, 177]
train episode:56, reward = 0.9617886178861789, state count = 9, state = [15, 58, 85, 102, 119, 123, 139, 160, 177]
train episode:57, reward = 0.9577235772357724, state count = 9, state = [15, 53, 58, 85, 88, 102, 119, 160, 177]
train episode:58, reward = 0.9967479674796748, state count = 9, state = [15, 54, 85, 102, 119, 125, 127, 160, 177]
evaluate episode:5.9, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:59, reward = 0.9926829268292683, state count = 9, state = [2, 15, 22, 85, 89, 102, 119, 160, 177]
train episode:60, reward = 0.9577235772357724, state count = 9, state = [15, 30, 58, 85, 88, 102, 119, 160, 177]
train episode:61, reward = 0.9780487804878049, state count = 9, state = [15, 43, 67, 85, 102, 119, 160, 177, 180]
train episode:62, reward = 0.8902439024390244, state count = 9, state = [15, 42, 71, 85, 89, 102, 119, 160, 177]
train episode:63, reward = 0.9829268292682927, state count = 9, state = [15, 18, 85, 102, 119, 127, 158, 160, 177]
train episode:64, reward = 0.9520325203252032, state count = 9, state = [15, 58, 85, 102, 119, 150, 160, 161, 177]
train episode:65, reward = 0.959349593495935, state count = 9, state = [15, 34, 58, 85, 88, 102, 119, 160, 177]
train episode:66, reward = 0.9439024390243902, state count = 9, state = [15, 58, 70, 85, 102, 119, 138, 160, 177]
train episode:67, reward = 0.967479674796748, state count = 9, state = [7, 15, 58, 85, 102, 119, 160, 174, 177]
train episode:68, reward = 0.9650406504065041, state count = 9, state = [8, 15, 35, 44, 85, 102, 119, 160, 177]
evaluate episode:6.9, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:69, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
train episode:70, reward = 0.9723577235772358, state count = 9, state = [15, 48, 85, 102, 119, 123, 160, 174, 177]
train episode:71, reward = 0.9650406504065041, state count = 9, state = [15, 64, 85, 91, 102, 119, 160, 177, 178]
train episode:72, reward = 0.973170731707317, state count = 9, state = [15, 99, 102, 119, 130, 143, 160, 162, 177]
train episode:73, reward = 0.9439024390243902, state count = 9, state = [15, 30, 58, 69, 85, 102, 119, 160, 177]
train episode:74, reward = 0.975609756097561, state count = 9, state = [15, 75, 89, 102, 119, 160, 167, 168, 177]
train episode:75, reward = 0.9975609756097561, state count = 9, state = [15, 46, 47, 102, 115, 117, 119, 160, 177]
train episode:76, reward = 0.9463414634146341, state count = 9, state = [15, 52, 58, 78, 85, 102, 119, 160, 177]
train episode:77, reward = 0.9569105691056911, state count = 9, state = [4, 15, 58, 85, 89, 102, 119, 160, 177]
train episode:78, reward = 0.9536585365853658, state count = 9, state = [15, 98, 102, 119, 120, 141, 172, 177, 179]
evaluate episode:7.9, reward = 0.9569105691056911, state count = 9, state = [15, 58, 63, 85, 88, 102, 119, 160, 177]
