train episode:52, reward = 0.9577235772357724, state count = 9, state = [24, 41, 57, 58, 67, 109, 134, 147, 158]
train episode:53, reward = 0.9869918699186991, state count = 9, state = [41, 57, 61, 67, 96, 109, 134, 158, 161]
train episode:54, reward = 0.9577235772357724, state count = 9, state = [38, 41, 57, 67, 109, 134, 147, 158, 162]
train episode:55, reward = 0.9666666666666667, state count = 9, state = [32, 41, 57, 67, 75, 109, 134, 147, 158]
train episode:56, reward = 0.9780487804878049, state count = 9, state = [15, 31, 34, 41, 53, 57, 67, 134, 158]
train episode:57, reward = 0.9577235772357724, state count = 9, state = [15, 38, 41, 57, 67, 109, 134, 147, 158]
train episode:58, reward = 0.9577235772357724, state count = 9, state = [38, 41, 57, 67, 95, 109, 134, 147, 158]
evaluate episode:5.9, reward = 0.9577235772357724, state count = 9, state = [38, 41, 51, 57, 67, 109, 134, 147, 158]
train episode:59, reward = 0.9796747967479674, state count = 9, state = [13, 17, 30, 41, 57, 67, 109, 134, 158]
train episode:60, reward = 0.967479674796748, state count = 9, state = [41, 57, 65, 67, 102, 109, 134, 147, 158]
train episode:61, reward = 0.9666666666666667, state count = 9, state = [16, 41, 57, 67, 108, 109, 119, 134, 158]
train episode:62, reward = 0.9577235772357724, state count = 9, state = [41, 57, 67, 109, 133, 134, 147, 158, 161]
train episode:63, reward = 0.9577235772357724, state count = 9, state = [41, 57, 67, 76, 77, 109, 134, 147, 158]
train episode:64, reward = 0.9585365853658536, state count = 9, state = [22, 41, 57, 67, 92, 95, 109, 134, 158]
train episode:65, reward = 0.9577235772357724, state count = 9, state = [38, 41, 57, 67, 102, 109, 134, 147, 158]
train episode:66, reward = 0.9577235772357724, state count = 9, state = [41, 57, 67, 68, 100, 109, 117, 134, 158]
train episode:67, reward = 0.9577235772357724, state count = 9, state = [38, 41, 57, 67, 83, 109, 134, 147, 158]
train episode:68, reward = 0.967479674796748, state count = 9, state = [41, 51, 57, 67, 97, 109, 134, 147, 158]
evaluate episode:6.9, reward = 0.967479674796748, state count = 9, state = [41, 51, 57, 67, 97, 109, 134, 147, 158]
train episode:69, reward = 0.9634146341463414, state count = 9, state = [41, 51, 57, 67, 91, 109, 134, 147, 158]
train episode:70, reward = 0.9691056910569106, state count = 9, state = [41, 57, 67, 79, 109, 132, 134, 149, 158]
train episode:71, reward = 0.9747967479674797, state count = 9, state = [5, 26, 41, 50, 57, 67, 134, 156, 158]
train episode:72, reward = 0.9634146341463414, state count = 9, state = [41, 57, 67, 69, 88, 109, 128, 134, 158]
train episode:73, reward = 0.9642276422764228, state count = 9, state = [36, 41, 57, 63, 67, 109, 134, 147, 158]
train episode:74, reward = 0.9577235772357724, state count = 9, state = [8, 41, 57, 67, 109, 131, 134, 147, 158]
train episode:75, reward = 0.9617886178861789, state count = 9, state = [41, 51, 55, 57, 67, 109, 134, 147, 158]
train episode:76, reward = 0.9577235772357724, state count = 9, state = [41, 52, 57, 67, 109, 124, 134, 147, 158]
