train episode:67, reward = 0.6205673758865248, state count = 5, state = [15, 48, 93, 131, 155]
train episode:68, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
evaluate episode:6.9, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:69, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:70, reward = 0.6950354609929078, state count = 5, state = [34, 48, 57, 91, 131]
train episode:71, reward = 0.7890070921985816, state count = 5, state = [34, 48, 104, 131, 165]
train episode:72, reward = 0.7819148936170213, state count = 5, state = [12, 34, 48, 104, 131]
train episode:73, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:74, reward = 0.675531914893617, state count = 5, state = [48, 114, 131, 155, 173]
train episode:75, reward = 0.7145390070921985, state count = 5, state = [34, 43, 48, 131, 155]
train episode:76, reward = 0.6205673758865248, state count = 5, state = [48, 131, 136, 153, 155]
train episode:77, reward = 0.7960992907801419, state count = 5, state = [11, 34, 48, 82, 131]
train episode:78, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
evaluate episode:7.9, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:79, reward = 0.9042553191489362, state count = 5, state = [25, 28, 34, 48, 131]
train episode:80, reward = 0.6684397163120568, state count = 5, state = [14, 48, 89, 131, 155]
train episode:81, reward = 0.6471631205673759, state count = 1, state = [72]
train episode:82, reward = 0.7872340425531915, state count = 5, state = [34, 48, 104, 112, 131]
train episode:83, reward = 0.7287234042553191, state count = 5, state = [48, 99, 131, 155, 167]
train episode:84, reward = 0.7836879432624113, state count = 5, state = [34, 48, 131, 134, 155]
train episode:85, reward = 0.9113475177304965, state count = 5, state = [34, 48, 104, 131, 141]
train episode:86, reward = 0.7819148936170213, state count = 5, state = [34, 48, 131, 147, 155]
train episode:87, reward = 0.8351063829787234, state count = 5, state = [60, 61, 131, 143, 155]
train episode:88, reward = 0.7801418439716312, state count = 5, state = [34, 48, 131, 148, 155]
evaluate episode:8.9, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:89, reward = 0.6099290780141844, state count = 5, state = [44, 48, 89, 131, 155]
train episode:90, reward = 0.7340425531914894, state count = 5, state = [34, 48, 57, 131, 155]
train episode:91, reward = 0.6578014184397163, state count = 5, state = [48, 57, 69, 131, 143]
train episode:92, reward = 0.7287234042553191, state count = 5, state = [48, 91, 131, 155, 179]
train episode:93, reward = 0.8049645390070922, state count = 5, state = [26, 48, 98, 108, 155]
train episode:94, reward = 0.7819148936170213, state count = 5, state = [34, 48, 51, 131, 155]
train episode:95, reward = 0.8067375886524822, state count = 5, state = [34, 48, 54, 68, 131]
train episode:96, reward = 0.7819148936170213, state count = 5, state = [34, 48, 100, 107, 131]
train episode:97, reward = 0.6046099290780141, state count = 5, state = [34, 48, 77, 131, 155]
train episode:98, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
evaluate episode:9.9, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:99, reward = 0.6950354609929078, state count = 5, state = [48, 73, 114, 141, 155]
train episode:100, reward = 0.7819148936170213, state count = 5, state = [34, 48, 131, 153, 155]
train episode:101, reward = 0.6187943262411347, state count = 5, state = [48, 102, 121, 131, 155]
train episode:102, reward = 0.7358156028368794, state count = 5, state = [34, 48, 65, 103, 131]
train episode:103, reward = 0.7819148936170213, state count = 5, state = [34, 48, 117, 131, 155]
train episode:104, reward = 0.8085106382978723, state count = 5, state = [34, 48, 131, 155, 174]
train episode:105, reward = 0.599290780141844, state count = 5, state = [48, 143, 155, 171, 177]
train episode:106, reward = 0.7677304964539007, state count = 5, state = [21, 48, 94, 110, 155]
train episode:107, reward = 0.6205673758865248, state count = 5, state = [48, 131, 148, 155, 159]
train episode:108, reward = 0.6205673758865248, state count = 5, state = [12, 48, 95, 131, 155]
evaluate episode:10.9, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:109, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
