train episode:64, reward = 93.33333333333333, state count = 6, state = [8, 15, 46, 129, 149, 174]
train episode:65, reward = 99.59349593495935, state count = 6, state = [17, 46, 129, 144, 158, 174]
train episode:66, reward = 94.3089430894309, state count = 6, state = [21, 34, 46, 129, 144, 174]
train episode:67, reward = 97.96747967479675, state count = 6, state = [27, 46, 103, 129, 144, 174]
train episode:68, reward = 97.80487804878048, state count = 6, state = [36, 46, 67, 129, 144, 174]
evaluate episode:6.9, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:69, reward = 96.09756097560975, state count = 6, state = [46, 81, 129, 144, 166, 174]
train episode:70, reward = 96.58536585365853, state count = 6, state = [29, 46, 75, 119, 129, 174]
train episode:71, reward = 99.59349593495935, state count = 6, state = [21, 22, 46, 129, 144, 174]
train episode:72, reward = 97.07317073170731, state count = 6, state = [21, 46, 76, 129, 144, 174]
train episode:73, reward = 94.8780487804878, state count = 6, state = [12, 46, 129, 143, 144, 174]
train episode:74, reward = 93.90243902439023, state count = 6, state = [21, 46, 129, 140, 144, 174]
train episode:75, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:76, reward = 95.04065040650407, state count = 6, state = [46, 82, 129, 144, 153, 174]
train episode:77, reward = 86.09756097560975, state count = 6, state = [21, 46, 66, 129, 144, 174]
train episode:78, reward = 97.5609756097561, state count = 5, state = [46, 67, 129, 144, 174]
evaluate episode:7.9, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:79, reward = 96.58536585365853, state count = 6, state = [41, 46, 129, 135, 173, 174]
train episode:80, reward = 96.34146341463415, state count = 6, state = [46, 90, 144, 146, 170, 174]
train episode:81, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:82, reward = 81.0569105691057, state count = 6, state = [21, 46, 87, 116, 129, 174]
train episode:83, reward = 83.82113821138212, state count = 6, state = [46, 74, 109, 118, 129, 174]
train episode:84, reward = 95.6910569105691, state count = 6, state = [46, 92, 115, 129, 161, 174]
train episode:85, reward = 93.90243902439023, state count = 6, state = [21, 46, 96, 129, 144, 174]
train episode:86, reward = 98.69918699186991, state count = 6, state = [18, 46, 61, 144, 172, 174]
train episode:87, reward = 97.07317073170731, state count = 6, state = [21, 46, 76, 129, 159, 174]
train episode:88, reward = 94.71544715447155, state count = 6, state = [21, 46, 106, 129, 144, 174]
evaluate episode:8.9, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:89, reward = 98.53658536585365, state count = 6, state = [38, 46, 71, 129, 144, 174]
train episode:90, reward = 84.0650406504065, state count = 6, state = [46, 49, 73, 89, 129, 174]
train episode:91, reward = 99.59349593495935, state count = 6, state = [25, 46, 71, 107, 129, 174]
train episode:92, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:93, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:94, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:95, reward = 93.0081300813008, state count = 6, state = [46, 80, 129, 144, 153, 174]
train episode:96, reward = 86.58536585365853, state count = 6, state = [1, 63, 128, 129, 152, 174]
train episode:97, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:98, reward = 93.17073170731707, state count = 6, state = [21, 46, 58, 129, 144, 174]
evaluate episode:9.9, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:99, reward = 90.48780487804878, state count = 6, state = [21, 46, 129, 171, 174, 178]
train episode:100, reward = 85.60975609756098, state count = 6, state = [21, 46, 95, 129, 133, 174]
train episode:101, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:102, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:103, reward = 99.7560975609756, state count = 6, state = [21, 23, 46, 129, 139, 174]
train episode:104, reward = 94.71544715447155, state count = 6, state = [21, 46, 101, 129, 144, 174]
train episode:105, reward = 95.04065040650407, state count = 6, state = [46, 64, 77, 129, 171, 174]
train episode:106, reward = 72.27642276422765, state count = 6, state = [21, 31, 46, 129, 144, 174]
train episode:107, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:108, reward = 94.8780487804878, state count = 6, state = [21, 46, 129, 144, 157, 174]
evaluate episode:10.9, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:109, reward = 94.22764227642276, state count = 6, state = [15, 46, 95, 129, 148, 174]
train episode:110, reward = 97.47967479674797, state count = 6, state = [46, 55, 119, 129, 140, 168]
train episode:111, reward = 98.45528455284553, state count = 6, state = [3, 46, 129, 144, 162, 174]
train episode:112, reward = 94.71544715447155, state count = 6, state = [21, 46, 70, 129, 144, 174]
train episode:113, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:114, reward = 94.71544715447155, state count = 6, state = [21, 46, 72, 129, 144, 174]
train episode:115, reward = 92.4390243902439, state count = 6, state = [20, 46, 91, 129, 141, 174]
train episode:116, reward = 94.71544715447155, state count = 6, state = [13, 21, 46, 129, 144, 174]
train episode:117, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:118, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
evaluate episode:11.9, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:119, reward = 99.51219512195122, state count = 6, state = [21, 40, 46, 129, 144, 174]
train episode:120, reward = 96.82926829268293, state count = 6, state = [46, 53, 129, 130, 164, 174]
train episode:121, reward = 95.1219512195122, state count = 6, state = [46, 93, 129, 161, 169, 174]
train episode:122, reward = 95.28455284552845, state count = 6, state = [32, 46, 118, 129, 164, 174]
train episode:123, reward = 94.0650406504065, state count = 6, state = [44, 79, 92, 129, 174, 180]
train episode:124, reward = 91.95121951219512, state count = 6, state = [21, 46, 113, 129, 144, 174]
