max = 10, decision tree, 10folds
train episode:49, reward = 0.9963431108390145, state count = 10, state = [10, 15, 33, 34, 55, 154, 155, 159, 163, 178]
train episode:50, reward = 0.997764636559541, state count = 10, state = [15, 33, 34, 38, 43, 102, 108, 155, 159, 163]
train episode:51, reward = 0.9975609722510926, state count = 10, state = [3, 10, 15, 33, 34, 43, 59, 155, 159, 163]
train episode:52, reward = 0.9993902422231074, state count = 10, state = [10, 15, 33, 34, 47, 56, 146, 155, 159, 163]
train episode:53, reward = 0.9981694898415381, state count = 10, state = [10, 15, 25, 33, 34, 89, 111, 155, 159, 163]
train episode:54, reward = 0.997967890271393, state count = 10, state = [10, 15, 31, 33, 34, 56, 93, 155, 159, 163]
train episode:55, reward = 0.9969512161535317, state count = 10, state = [10, 15, 33, 34, 64, 113, 155, 157, 159, 163]
train episode:56, reward = 0.9975613862063524, state count = 10, state = [10, 11, 15, 33, 34, 59, 97, 155, 162, 163]
train episode:57, reward = 0.9981711423039134, state count = 10, state = [10, 15, 33, 34, 59, 63, 155, 159, 163, 178]
train episode:58, reward = 0.9975613862063524, state count = 10, state = [3, 10, 15, 33, 34, 59, 118, 155, 159, 163]
evaluate episode:5.9, reward = 0.9975613862063524, state count = 10, state = [3, 10, 15, 33, 34, 59, 60, 155, 159, 163]
train episode:59, reward = 0.9969516284294597, state count = 10, state = [15, 33, 60, 62, 70, 100, 127, 148, 149, 163]
train episode:60, reward = 0.9973573062633128, state count = 10, state = [15, 33, 34, 94, 109, 122, 155, 159, 163, 164]
train episode:61, reward = 0.9967492009487955, state count = 10, state = [15, 33, 34, 52, 78, 82, 155, 159, 163, 169]
train episode:62, reward = 0.9973577202185723, state count = 10, state = [10, 15, 33, 34, 105, 124, 141, 155, 159, 163]
train episode:63, reward = 0.9973585464497601, state count = 10, state = [15, 33, 34, 60, 61, 70, 73, 155, 159, 163]
train episode:64, reward = 0.9973577202185723, state count = 10, state = [4, 15, 33, 34, 51, 82, 100, 141, 159, 163]
train episode:65, reward = 0.9967492009487955, state count = 10, state = [10, 15, 33, 34, 51, 138, 155, 156, 159, 163]
train episode:66, reward = 0.9961382080234504, state count = 10, state = [6, 15, 33, 34, 91, 94, 145, 155, 159, 163]
train episode:67, reward = 0.9963426968837549, state count = 10, state = [10, 15, 33, 34, 39, 95, 146, 155, 159, 163]
train episode:68, reward = 0.9975613862063524, state count = 10, state = [3, 10, 15, 33, 34, 59, 60, 155, 159, 163]
evaluate episode:6.9, reward = 0.9975613862063524, state count = 10, state = [3, 10, 15, 33, 34, 59, 60, 155, 159, 163]
train episode:69, reward = 0.9975613862063524, state count = 10, state = [3, 10, 15, 33, 34, 59, 152, 155, 159, 163]
train episode:70, reward = 0.9975613862063524, state count = 10, state = [3, 10, 15, 33, 34, 59, 60, 155, 159, 163]
train episode:71, reward = 0.997358134173832, state count = 10, state = [10, 15, 33, 34, 59, 112, 154, 155, 159, 163]
train episode:72, reward = 0.9977646382388727, state count = 10, state = [15, 33, 34, 102, 112, 116, 122, 155, 159, 163]
train episode:73, reward = 0.9961394448512346, state count = 10, state = [10, 15, 33, 34, 80, 122, 155, 156, 159, 163]
train episode:74, reward = 0.9985776463689542, state count = 10, state = [3, 10, 15, 33, 34, 59, 63, 155, 159, 163]
train episode:75, reward = 0.9975626230341366, state count = 10, state = [4, 10, 15, 21, 33, 34, 48, 155, 159, 163]
train episode:76, reward = 0.9975613862063524, state count = 10, state = [10, 15, 33, 34, 59, 64, 130, 155, 159, 163]
train episode:77, reward = 0.9965459489162752, state count = 10, state = [10, 15, 33, 34, 90, 155, 159, 163, 172, 181]
train episode:78, reward = 0.9989833258821387, state count = 10, state = [15, 22, 33, 34, 65, 74, 112, 159, 163, 170]
evaluate episode:7.9, reward = 0.9975613862063524, state count = 10, state = [3, 10, 15, 33, 34, 59, 105, 155, 159, 163]
train episode:79, reward = 0.9985764078618382, state count = 10, state = [15, 22, 33, 34, 69, 113, 155, 159, 163, 168]
train episode:80, reward = 0.9967492009487955, state count = 10, state = [15, 32, 33, 34, 95, 98, 155, 159, 163, 181]
train episode:81, reward = 0.997358134173832, state count = 10, state = [10, 15, 31, 33, 34, 59, 105, 155, 159, 163]
train episode:82, reward = 0.9977646382388727, state count = 10, state = [10, 15, 33, 34, 59, 80, 108, 155, 159, 163]
train episode:83, reward = 0.9965459489162752, state count = 10, state = [10, 15, 33, 34, 50, 51, 75, 155, 159, 163]
train episode:84, reward = 0.9941040318772083, state count = 10, state = [8, 15, 21, 33, 93, 124, 140, 155, 159, 163]
train episode:85, reward = 0.9977650505148008, state count = 10, state = [15, 23, 33, 34, 57, 67, 155, 159, 163, 175]
train episode:86, reward = 0.9975613862063524, state count = 10, state = [3, 10, 15, 33, 34, 59, 60, 155, 159, 163]
train episode:87, reward = 0.9955296904330051, state count = 10, state = [1, 15, 33, 87, 101, 113, 125, 159, 163, 178]
train episode:88, reward = 0.9977642242836129, state count = 10, state = [10, 15, 16, 33, 34, 59, 147, 155, 159, 163]
evaluate episode:8.9, reward = 0.9975613862063524, state count = 10, state = [3, 10, 15, 33, 34, 59, 105, 155, 159, 163]
train episode:89, reward = 0.9967492009487955, state count = 10, state = [10, 13, 15, 33, 34, 126, 128, 155, 159, 163]
train episode:90, reward = 0.997763399731757, state count = 10, state = [15, 17, 19, 33, 66, 85, 130, 155, 159, 163]
train episode:91, reward = 0.9969524529813159, state count = 10, state = [15, 33, 34, 37, 74, 151, 155, 159, 163, 173]
train episode:92, reward = 0.9967492009487955, state count = 10, state = [10, 15, 33, 34, 72, 103, 115, 155, 159, 163]
train episode:93, reward = 0.9957312900031502, state count = 10, state = [10, 15, 33, 34, 43, 77, 155, 159, 163, 178]
train episode:94, reward = 0.997358134173832, state count = 10, state = [10, 15, 33, 34, 59, 91, 105, 155, 159, 163]
train episode:95, reward = 0.9971557050138362, state count = 10, state = [10, 15, 33, 34, 37, 118, 155, 159, 163, 179]
train episode:96, reward = 0.9975613862063524, state count = 10, state = [3, 10, 15, 32, 33, 34, 59, 155, 159, 163]
train episode:97, reward = 0.9943076978649883, state count = 10, state = [15, 30, 33, 73, 97, 121, 128, 150, 159, 163]
train episode:98, reward = 0.9977646382388727, state count = 10, state = [6, 10, 15, 33, 34, 59, 65, 155, 159, 163]
evaluate episode:9.9, reward = 0.9975613862063524, state count = 10, state = [3, 10, 15, 33, 34, 59, 105, 155, 159, 163]
train episode:99, reward = 0.9975609722510926, state count = 10, state = [10, 15, 33, 34, 59, 141, 150, 155, 159, 163]
train episode:100, reward = 0.9973573062633128, state count = 10, state = [15, 33, 34, 109, 111, 122, 152, 155, 159, 163]
train episode:101, reward = 0.9961394448512346, state count = 10, state = [15, 33, 34, 97, 130, 137, 155, 159, 161, 163]
train episode:102, reward = 0.9987804861255464, state count = 10, state = [10, 15, 33, 34, 47, 75, 111, 155, 159, 163]
train episode:103, reward = 0.9967492009487955, state count = 10, state = [10, 15, 33, 34, 53, 127, 155, 159, 163, 172]
train episode:104, reward = 0.9967492009487955, state count = 10, state = [15, 33, 34, 62, 76, 116, 135, 155, 159, 163]
train episode:105, reward = 0.9963435231149426, state count = 10, state = [15, 33, 34, 94, 100, 125, 155, 159, 163, 182]
train episode:106, reward = 0.9975613862063524, state count = 10, state = [3, 10, 15, 33, 34, 59, 105, 155, 159, 163]
train episode:107, reward = 0.9985776463689542, state count = 10, state = [1, 10, 15, 27, 33, 34, 59, 155, 159, 163]
train episode:108, reward = 0.9975613862063524, state count = 10, state = [4, 10, 15, 33, 34, 59, 155, 159, 163, 177]
evaluate episode:10.9, reward = 0.997358134173832, state count = 10, state = [10, 15, 33, 34, 59, 60, 105, 155, 159, 163]
train episode:109, reward = 0.9510187002315362, state count = 3, state = [21, 48, 113]
train episode:110, reward = 0.9965463628715348, state count = 10, state = [15, 32, 33, 34, 56, 155, 157, 159, 163, 182]
train episode:111, reward = 0.9975613862063524, state count = 10, state = [10, 15, 33, 34, 59, 105, 155, 159, 163, 170]
