max = 8, decision tree, 10folds
train episode:55, reward = 0.9969508055569355, state count = 8, state = [9, 26, 72, 80, 87, 119, 126, 158]
train episode:56, reward = 0.9987809000808061, state count = 8, state = [26, 56, 72, 87, 97, 137, 158, 174]
train episode:57, reward = 0.9987809000808061, state count = 8, state = [26, 56, 72, 87, 97, 158, 169, 174]
train episode:58, reward = 0.9987809000808061, state count = 8, state = [24, 26, 56, 87, 93, 97, 158, 174]
evaluate episode:5.9, reward = 0.9989841521133265, state count = 8, state = [26, 56, 72, 87, 97, 158, 170, 174]
train episode:59, reward = 0.9983748082916934, state count = 8, state = [18, 26, 33, 72, 87, 97, 158, 174]
train episode:60, reward = 0.961380020534196, state count = 8, state = [11, 29, 56, 79, 87, 127, 158, 174]
train episode:61, reward = 0.9987809000808061, state count = 8, state = [26, 56, 87, 97, 99, 140, 158, 174]
train episode:62, reward = 0.9995934959349594, state count = 8, state = [17, 26, 56, 87, 97, 158, 170, 174]
train episode:63, reward = 0.9991869918699188, state count = 8, state = [26, 56, 72, 75, 87, 158, 170, 174]
train episode:64, reward = 0.9985776480482859, state count = 8, state = [18, 26, 56, 87, 97, 100, 158, 174]
train episode:65, reward = 0.9628027914791651, state count = 8, state = [56, 87, 102, 110, 128, 139, 158, 174]
train episode:66, reward = 0.999390243902439, state count = 8, state = [26, 56, 62, 77, 87, 141, 158, 174]
train episode:67, reward = 0.9989841521133265, state count = 8, state = [26, 56, 87, 107, 133, 158, 170, 174]
train episode:68, reward = 0.9981707317073172, state count = 8, state = [3, 26, 54, 83, 87, 129, 158, 174]
evaluate episode:6.9, reward = 0.9989841521133265, state count = 8, state = [26, 56, 72, 87, 97, 158, 170, 174]
train episode:69, reward = 0.9991874041458468, state count = 8, state = [26, 50, 56, 61, 87, 158, 174, 183]
train episode:70, reward = 0.9987809000808061, state count = 8, state = [10, 26, 56, 87, 153, 154, 158, 174]
train episode:71, reward = 0.9991874041458468, state count = 8, state = [26, 56, 79, 87, 111, 158, 170, 174]
train episode:72, reward = 0.9995934959349594, state count = 8, state = [25, 26, 56, 87, 110, 119, 158, 174]
train episode:73, reward = 0.9991874041458468, state count = 8, state = [26, 31, 44, 56, 87, 158, 174, 176]
train episode:74, reward = 0.9979674796747968, state count = 8, state = [26, 56, 59, 64, 87, 140, 158, 174]
train episode:75, reward = 0.9987809000808061, state count = 8, state = [26, 56, 87, 103, 104, 120, 137, 158]
train episode:76, reward = 0.9991874041458468, state count = 8, state = [26, 56, 61, 87, 128, 156, 158, 174]
train episode:77, reward = 0.9983743960157655, state count = 8, state = [9, 26, 52, 56, 87, 108, 136, 158]
train episode:78, reward = 0.9918715627649041, state count = 8, state = [11, 20, 36, 57, 87, 109, 123, 158]
evaluate episode:7.9, reward = 0.9987809000808061, state count = 8, state = [26, 56, 87, 97, 158, 159, 170, 174]
train episode:79, reward = 0.9977654644700605, state count = 8, state = [19, 26, 86, 87, 147, 148, 158, 174]
train episode:80, reward = 0.9985776480482859, state count = 8, state = [26, 56, 58, 87, 118, 158, 170, 174]
train episode:81, reward = 0.9987809000808061, state count = 8, state = [26, 56, 86, 87, 97, 158, 170, 174]
train episode:82, reward = 0.9987809000808061, state count = 8, state = [26, 56, 87, 97, 158, 159, 170, 174]
train episode:83, reward = 0.9987809000808061, state count = 8, state = [26, 56, 87, 97, 131, 158, 170, 174]
train episode:84, reward = 0.9987809000808061, state count = 8, state = [26, 35, 56, 87, 97, 158, 170, 174]
train episode:85, reward = 0.998780900080806, state count = 8, state = [26, 31, 56, 87, 109, 158, 170, 174]
train episode:86, reward = 0.9987809000808061, state count = 8, state = [26, 56, 87, 97, 150, 158, 170, 174]
train episode:87, reward = 0.9989841521133265, state count = 8, state = [36, 54, 56, 87, 89, 158, 162, 164]
train episode:88, reward = 0.9989841521133265, state count = 8, state = [26, 56, 60, 87, 92, 158, 170, 174]
evaluate episode:8.9, reward = 0.9987809000808061, state count = 8, state = [26, 56, 72, 87, 158, 159, 170, 174]
train episode:89, reward = 0.9993898299471793, state count = 8, state = [17, 26, 56, 87, 112, 158, 170, 174]
train episode:90, reward = 0.9987809000808061, state count = 8, state = [21, 26, 43, 56, 87, 106, 158, 174]
train episode:91, reward = 0.9989841521133265, state count = 8, state = [26, 56, 69, 87, 89, 158, 167, 178]
train episode:92, reward = 0.9987809000808061, state count = 8, state = [26, 56, 87, 97, 101, 158, 170, 174]
train episode:93, reward = 0.9989841521133265, state count = 8, state = [26, 27, 56, 87, 109, 158, 170, 174]
train episode:94, reward = 0.9989841521133265, state count = 8, state = [26, 41, 56, 87, 156, 158, 170, 174]
train episode:95, reward = 0.9987809000808061, state count = 8, state = [26, 56, 85, 87, 141, 158, 170, 174]
train episode:96, reward = 0.9989841521133265, state count = 8, state = [26, 29, 56, 80, 87, 143, 158, 174]
train episode:97, reward = 0.967685380332856, state count = 8, state = [2, 49, 50, 56, 87, 120, 158, 181]
train episode:98, reward = 0.9991878164217749, state count = 8, state = [13, 26, 33, 47, 56, 87, 158, 181]
evaluate episode:9.9, reward = 0.9987809000808061, state count = 8, state = [26, 56, 72, 87, 158, 159, 170, 174]
train episode:99, reward = 0.9993906561783671, state count = 8, state = [26, 56, 87, 123, 124, 158, 167, 168]
train episode:100, reward = 0.9995934959349594, state count = 8, state = [26, 56, 87, 102, 124, 128, 158, 162]
train episode:101, reward = 0.800610823312845, state count = 4, state = [87, 98, 103, 158]
train episode:102, reward = 0.9993906561783671, state count = 8, state = [26, 56, 87, 158, 159, 170, 172, 174]
train episode:103, reward = 0.9987809000808061, state count = 8, state = [26, 56, 87, 133, 158, 159, 170, 174]
train episode:104, reward = 0.9985776480482859, state count = 8, state = [26, 38, 56, 87, 96, 128, 158, 174]
train episode:105, reward = 0.9987809000808061, state count = 8, state = [26, 56, 72, 87, 158, 159, 170, 174]
train episode:106, reward = 0.9987809000808061, state count = 8, state = [26, 56, 87, 107, 115, 158, 170, 174]
train episode:107, reward = 0.9985776480482859, state count = 8, state = [7, 26, 56, 87, 136, 158, 170, 174]
train episode:108, reward = 0.9985772357723578, state count = 8, state = [26, 56, 66, 87, 154, 158, 170, 174]
evaluate episode:10.9, reward = 0.9983743960157655, state count = 8, state = [11, 26, 56, 87, 158, 159, 170, 174]
train episode:109, reward = 0.9995934959349594, state count = 8, state = [17, 26, 56, 87, 97, 119, 158, 174]
train episode:110, reward = 0.9989841521133265, state count = 8, state = [26, 49, 56, 87, 110, 140, 158, 174]
train episode:111, reward = 0.9985776480482859, state count = 8, state = [1, 26, 56, 87, 151, 158, 170, 174]
train episode:112, reward = 0.9991869918699188, state count = 8, state = [26, 56, 87, 158, 159, 167, 170, 174]
train episode:113, reward = 0.9987809000808061, state count = 8, state = [10, 26, 51, 56, 87, 158, 170, 174]
train episode:114, reward = 0.9991874041458468, state count = 8, state = [26, 27, 56, 87, 134, 139, 158, 174]
train episode:115, reward = 0.9983743960157655, state count = 8, state = [3, 26, 41, 55, 56, 87, 158, 182]
train episode:116, reward = 0.9985776480482859, state count = 8, state = [26, 56, 87, 158, 170, 174, 175, 179]
train episode:117, reward = 0.9995934959349594, state count = 8, state = [13, 26, 34, 53, 56, 87, 158, 163]
train episode:118, reward = 0.9987809000808061, state count = 8, state = [26, 56, 87, 102, 135, 158, 170, 174]
evaluate episode:11.9, reward = 0.9983743960157655, state count = 8, state = [11, 26, 56, 87, 158, 159, 170, 174]
train episode:119, reward = 0.9991869918699188, state count = 8, state = [26, 56, 87, 158, 159, 167, 170, 174]
train episode:120, reward = 0.9989841521133265, state count = 8, state = [11, 26, 56, 87, 156, 158, 170, 174]
train episode:121, reward = 0.9989841521133265, state count = 8, state = [26, 37, 56, 87, 158, 170, 174, 179]
train episode:122, reward = 0.9985776480482859, state count = 8, state = [16, 26, 56, 77, 87, 158, 169, 174]
train episode:123, reward = 0.9983743960157655, state count = 8, state = [18, 26, 56, 87, 150, 158, 165, 174]
train episode:124, reward = 0.9989841521133265, state count = 8, state = [26, 56, 87, 88, 158, 159, 170, 174]
train episode:125, reward = 0.9985776480482856, state count = 8, state = [26, 45, 53, 56, 87, 158, 165, 174]
train episode:126, reward = 0.9987809000808061, state count = 8, state = [26, 56, 87, 131, 158, 159, 170, 174]
train episode:127, reward = 0.9991869918699188, state count = 8, state = [26, 56, 87, 108, 158, 167, 170, 174]
train episode:128, reward = 0.9987809000808061, state count = 8, state = [1, 26, 37, 56, 87, 158, 159, 174]
evaluate episode:12.9, reward = 0.9989841521133265, state count = 8, state = [11, 26, 56, 72, 87, 158, 170, 174]
train episode:129, reward = 0.9134116625689295, state count = 8, state = [52, 56, 81, 87, 91, 101, 156, 158]
train episode:130, reward = 0.9993906561783671, state count = 8, state = [11, 26, 56, 87, 142, 158, 170, 174]
